mass,sigma
105.00000000,416.26845909
105.01000000,415.69094367
105.02000000,415.11382970
105.03000000,414.53715265
105.04000000,413.96094799
105.05000000,413.38525118
105.06000000,412.81009768
105.07000000,412.23552296
105.08000000,411.66156247
105.09000000,411.08825169
105.10000000,410.51562607
105.11000000,409.94372108
105.12000000,409.37257218
105.13000000,408.80221483
105.14000000,408.23268451
105.15000000,407.66401667
105.16000000,407.09624677
105.17000000,406.52941028
105.18000000,405.96354267
105.19000000,405.39867939
105.20000000,404.83485590
105.21000000,404.27210769
105.22000000,403.71047019
105.23000000,403.14997889
105.24000000,402.59066924
105.25000000,402.03257670
105.26000000,401.47572841
105.27000000,400.92011818
105.28000000,400.36573146
105.29000000,399.81255374
105.30000000,399.26057049
105.31000000,398.70976717
105.32000000,398.16012925
105.33000000,397.61164222
105.34000000,397.06429154
105.35000000,396.51806268
105.36000000,395.97294384
105.37000000,395.42893409
105.38000000,394.88603523
105.39000000,394.34424907
105.40000000,393.80357741
105.41000000,393.26402203
105.42000000,392.72558475
105.43000000,392.18826737
105.44000000,391.65207167
105.45000000,391.11699947
105.46000000,390.58305159
105.47000000,390.05022490
105.48000000,389.51851532
105.49000000,388.98791875
105.50000000,388.45843110
105.51000000,387.93004827
105.52000000,387.40276617
105.53000000,386.87658070
105.54000000,386.35148778
105.55000000,385.82748330
105.56000000,385.30456322
105.57000000,384.78272370
105.58000000,384.26196092
105.59000000,383.74227110
105.60000000,383.22365042
105.61000000,382.70609510
105.62000000,382.18960132
105.63000000,381.67416528
105.64000000,381.15978320
105.65000000,380.64645126
105.66000000,380.13416587
105.67000000,379.62292429
105.68000000,379.11272400
105.69000000,378.60356246
105.70000000,378.09543713
105.71000000,377.58834550
105.72000000,377.08228501
105.73000000,376.57725315
105.74000000,376.07324739
105.75000000,375.57026518
105.76000000,375.06830396
105.77000000,374.56736096
105.78000000,374.06743339
105.79000000,373.56851844
105.80000000,373.07061332
105.81000000,372.57371521
105.82000000,372.07782133
105.83000000,371.58292886
105.84000000,371.08903500
105.85000000,370.59613696
105.86000000,370.10423195
105.87000000,369.61331735
105.88000000,369.12339052
105.89000000,368.63444885
105.90000000,368.14648973
105.91000000,367.65951054
105.92000000,367.17350866
105.93000000,366.68848148
105.94000000,366.20442638
105.95000000,365.72134075
105.96000000,365.23922197
105.97000000,364.75806749
105.98000000,364.27787476
105.99000000,363.79864124
106.00000000,363.32036436
106.01000000,362.84304158
106.02000000,362.36667036
106.03000000,361.89124813
106.04000000,361.41677236
106.05000000,360.94324050
106.06000000,360.47065000
106.07000000,359.99899838
106.08000000,359.52828318
106.09000000,359.05850193
106.10000000,358.58965215
106.11000000,358.12173137
106.12000000,357.65473714
106.13000000,357.18866697
106.14000000,356.72351841
106.15000000,356.25928897
106.16000000,355.79597620
106.17000000,355.33357772
106.18000000,354.87209113
106.19000000,354.41151406
106.20000000,353.95184413
106.21000000,353.49307895
106.22000000,353.03521615
106.23000000,352.57825334
106.24000000,352.12218815
106.25000000,351.66701819
106.26000000,351.21274108
106.27000000,350.75935448
106.28000000,350.30685603
106.29000000,349.85524339
106.30000000,349.40451420
106.31000000,348.95466611
106.32000000,348.50569678
106.33000000,348.05760386
106.34000000,347.61038500
106.35000000,347.16403784
106.36000000,346.71856010
106.37000000,346.27394967
106.38000000,345.83020452
106.39000000,345.38732261
106.40000000,344.94530189
106.41000000,344.50414034
106.42000000,344.06383590
106.43000000,343.62438654
106.44000000,343.18579022
106.45000000,342.74804490
106.46000000,342.31114838
106.47000000,341.87509786
106.48000000,341.43989040
106.49000000,341.00552304
106.50000000,340.57199283
106.51000000,340.13929682
106.52000000,339.70743206
106.53000000,339.27639558
106.54000000,338.84618445
106.55000000,338.41679571
106.56000000,337.98822652
106.57000000,337.56047449
106.58000000,337.13353732
106.59000000,336.70741275
106.60000000,336.28209848
106.61000000,335.85759223
106.62000000,335.43389172
106.63000000,335.01099467
106.64000000,334.58889879
106.65000000,334.16760180
106.66000000,333.74710174
106.67000000,333.32739794
106.68000000,332.90849002
106.69000000,332.49037766
106.70000000,332.07306047
106.71000000,331.65653813
106.72000000,331.24081026
106.73000000,330.82587651
106.74000000,330.41173653
106.75000000,329.99838997
106.76000000,329.58583616
106.77000000,329.17407321
106.78000000,328.76309892
106.79000000,328.35291110
106.80000000,327.94350756
106.81000000,327.53488609
106.82000000,327.12704449
106.83000000,326.71998058
106.84000000,326.31369215
106.85000000,325.90817700
106.86000000,325.50343286
106.87000000,325.09945713
106.88000000,324.69624712
106.89000000,324.29380015
106.90000000,323.89211353
106.91000000,323.49118458
106.92000000,323.09101062
106.93000000,322.69158896
106.94000000,322.29291691
106.95000000,321.89499181
106.96000000,321.49781113
106.97000000,321.10137305
106.98000000,320.70567594
106.99000000,320.31071815
107.00000000,319.91649804
107.01000000,319.52301396
107.02000000,319.13026426
107.03000000,318.73824731
107.04000000,318.34696146
107.05000000,317.95640506
107.06000000,317.56657644
107.07000000,317.17747379
107.08000000,316.78909527
107.09000000,316.40143903
107.10000000,316.01450322
107.11000000,315.62828601
107.12000000,315.24278554
107.13000000,314.85799999
107.14000000,314.47392750
107.15000000,314.09056622
107.16000000,313.70791434
107.17000000,313.32597011
107.18000000,312.94473180
107.19000000,312.56419769
107.20000000,312.18436604
107.21000000,311.80523513
107.22000000,311.42680323
107.23000000,311.04906862
107.24000000,310.67202956
107.25000000,310.29568434
107.26000000,309.92003123
107.27000000,309.54506854
107.28000000,309.17079462
107.29000000,308.79720778
107.30000000,308.42430635
107.31000000,308.05208867
107.32000000,307.68055305
107.33000000,307.30969782
107.34000000,306.93952132
107.35000000,306.57002186
107.36000000,306.20119779
107.37000000,305.83304746
107.38000000,305.46556925
107.39000000,305.09876152
107.40000000,304.73262264
107.41000000,304.36715097
107.42000000,304.00234489
107.43000000,303.63820277
107.44000000,303.27472297
107.45000000,302.91190386
107.46000000,302.54974381
107.47000000,302.18824122
107.48000000,301.82739449
107.49000000,301.46720201
107.50000000,301.10766220
107.51000000,300.74877344
107.52000000,300.39053413
107.53000000,300.03294268
107.54000000,299.67599749
107.55000000,299.31969694
107.56000000,298.96403947
107.57000000,298.60902355
107.58000000,298.25464766
107.59000000,297.90091031
107.60000000,297.54781000
107.61000000,297.19534520
107.62000000,296.84351442
107.63000000,296.49231616
107.64000000,296.14174890
107.65000000,295.79181114
107.66000000,295.44250128
107.67000000,295.09381730
107.68000000,294.74575708
107.69000000,294.39831852
107.70000000,294.05149949
107.71000000,293.70529790
107.72000000,293.35971162
107.73000000,293.01473853
107.74000000,292.67037654
107.75000000,292.32662352
107.76000000,291.98347788
107.77000000,291.64094015
107.78000000,291.29901136
107.79000000,290.95769258
107.80000000,290.61698484
107.81000000,290.27688918
107.82000000,289.93740665
107.83000000,289.59853831
107.84000000,289.26028519
107.85000000,288.92264834
107.86000000,288.58562849
107.87000000,288.24922516
107.88000000,287.91343752
107.89000000,287.57826479
107.90000000,287.24370614
107.91000000,286.90976078
107.92000000,286.57642790
107.93000000,286.24370670
107.94000000,285.91159635
107.95000000,285.58009608
107.96000000,285.24920412
107.97000000,284.91891503
107.98000000,284.58922243
107.99000000,284.26011993
108.00000000,283.93160113
108.01000000,283.60365966
108.02000000,283.27628913
108.03000000,282.94948315
108.04000000,282.62323534
108.05000000,282.29753931
108.06000000,281.97238963
108.07000000,281.64778470
108.08000000,281.32372387
108.09000000,281.00020649
108.10000000,280.67723192
108.11000000,280.35479952
108.12000000,280.03290862
108.13000000,279.71155859
108.14000000,279.39074878
108.15000000,279.07047855
108.16000000,278.75074754
108.17000000,278.43155664
108.18000000,278.11290702
108.19000000,277.79479988
108.20000000,277.47723638
108.21000000,277.16021771
108.22000000,276.84374506
108.23000000,276.52781959
108.24000000,276.21244250
108.25000000,275.89761496
108.26000000,275.58333765
108.27000000,275.26960918
108.28000000,274.95642769
108.29000000,274.64379129
108.30000000,274.33169810
108.31000000,274.02014623
108.32000000,273.70913382
108.33000000,273.39865896
108.34000000,273.08871980
108.35000000,272.77931443
108.36000000,272.47044110
108.37000000,272.16209853
108.38000000,271.85428554
108.39000000,271.54700096
108.40000000,271.24024363
108.41000000,270.93401237
108.42000000,270.62830601
108.43000000,270.32312340
108.44000000,270.01846335
108.45000000,269.71432470
108.46000000,269.41070627
108.47000000,269.10760688
108.48000000,268.80502535
108.49000000,268.50296048
108.50000000,268.20141108
108.51000000,267.90037598
108.52000000,267.59985397
108.53000000,267.29984387
108.54000000,267.00034449
108.55000000,266.70135464
108.56000000,266.40287315
108.57000000,266.10489887
108.58000000,265.80743065
108.59000000,265.51046735
108.60000000,265.21400785
108.61000000,264.91805099
108.62000000,264.62259564
108.63000000,264.32764066
108.64000000,264.03318492
108.65000000,263.73922726
108.66000000,263.44576656
108.67000000,263.15280170
108.68000000,262.86033156
108.69000000,262.56835504
108.70000000,262.27687102
108.71000000,261.98587839
108.72000000,261.69537603
108.73000000,261.40536284
108.74000000,261.11583770
108.75000000,260.82679950
108.76000000,260.53824713
108.77000000,260.25017950
108.78000000,259.96259552
108.79000000,259.67549410
108.80000000,259.38887414
108.81000000,259.10273457
108.82000000,258.81707428
108.83000000,258.53189220
108.84000000,258.24718723
108.85000000,257.96295829
108.86000000,257.67920428
108.87000000,257.39592414
108.88000000,257.11311680
108.89000000,256.83078119
108.90000000,256.54891624
108.91000000,256.26752089
108.92000000,255.98659407
108.93000000,255.70613472
108.94000000,255.42614175
108.95000000,255.14661412
108.96000000,254.86755075
108.97000000,254.58895061
108.98000000,254.31081269
108.99000000,254.03313594
109.00000000,253.75591935
109.01000000,253.47916189
109.02000000,253.20286253
109.03000000,252.92702024
109.04000000,252.65163401
109.05000000,252.37670280
109.06000000,252.10222560
109.07000000,251.82820143
109.08000000,251.55462931
109.09000000,251.28150827
109.10000000,251.00883733
109.11000000,250.73661554
109.12000000,250.46484190
109.13000000,250.19351546
109.14000000,249.92263524
109.15000000,249.65220026
109.16000000,249.38220956
109.17000000,249.11266221
109.18000000,248.84355727
109.19000000,248.57489380
109.20000000,248.30667089
109.21000000,248.03888759
109.22000000,247.77154297
109.23000000,247.50463611
109.24000000,247.23816607
109.25000000,246.97213192
109.26000000,246.70653272
109.27000000,246.44136754
109.28000000,246.17663541
109.29000000,245.91233538
109.30000000,245.64846651
109.31000000,245.38502784
109.32000000,245.12201842
109.33000000,244.85943731
109.34000000,244.59728354
109.35000000,244.33555616
109.36000000,244.07425423
109.37000000,243.81337676
109.38000000,243.55292275
109.39000000,243.29289123
109.40000000,243.03328119
109.41000000,242.77409167
109.42000000,242.51532165
109.43000000,242.25697017
109.44000000,241.99903623
109.45000000,241.74151884
109.46000000,241.48441702
109.47000000,241.22772989
109.48000000,240.97145655
109.49000000,240.71559612
109.50000000,240.46014771
109.51000000,240.20511044
109.52000000,239.95048342
109.53000000,239.69626577
109.54000000,239.44245661
109.55000000,239.18905504
109.56000000,238.93606020
109.57000000,238.68347125
109.58000000,238.43128735
109.59000000,238.17950767
109.60000000,237.92813140
109.61000000,237.67715770
109.62000000,237.42658575
109.63000000,237.17641471
109.64000000,236.92664375
109.65000000,236.67727205
109.66000000,236.42829878
109.67000000,236.17972310
109.68000000,235.93154417
109.69000000,235.68376114
109.70000000,235.43637318
109.71000000,235.18937943
109.72000000,234.94277907
109.73000000,234.69657125
109.74000000,234.45075513
109.75000000,234.20532986
109.76000000,233.96029461
109.77000000,233.71564855
109.78000000,233.47139086
109.79000000,233.22752071
109.80000000,232.98403727
109.81000000,232.74093972
109.82000000,232.49822723
109.83000000,232.25589899
109.84000000,232.01395416
109.85000000,231.77239192
109.86000000,231.53121144
109.87000000,231.29041192
109.88000000,231.04999252
