mass,sigma
105.50000000,3.86296750
105.51000000,3.85822040
105.52000000,3.85347758
105.53000000,3.84873905
105.54000000,3.84400482
105.55000000,3.83927491
105.56000000,3.83454933
105.57000000,3.82982811
105.58000000,3.82511126
105.59000000,3.82039879
105.60000000,3.81569071
105.61000000,3.81098705
105.62000000,3.80628782
105.63000000,3.80159304
105.64000000,3.79690271
105.65000000,3.79221686
105.66000000,3.78753550
105.67000000,3.78285865
105.68000000,3.77818633
105.69000000,3.77351854
105.70000000,3.76885530
105.71000000,3.76419664
105.72000000,3.75954255
105.73000000,3.75489307
105.74000000,3.75024821
105.75000000,3.74560798
105.76000000,3.74097239
105.77000000,3.73634147
105.78000000,3.73171523
105.79000000,3.72709368
105.80000000,3.72247684
105.81000000,3.71786472
105.82000000,3.71325735
105.83000000,3.70865473
105.84000000,3.70405689
105.85000000,3.69946383
105.86000000,3.69487557
105.87000000,3.69029214
105.88000000,3.68571353
105.89000000,3.68113978
105.90000000,3.67657089
105.91000000,3.67200689
105.92000000,3.66744778
105.93000000,3.66289358
105.94000000,3.65834431
105.95000000,3.65379998
105.96000000,3.64926061
105.97000000,3.64472622
105.98000000,3.64019681
105.99000000,3.63567241
106.00000000,3.63115304
106.01000000,3.62663869
106.02000000,3.62212940
106.03000000,3.61762518
106.04000000,3.61312604
106.05000000,3.60863201
106.06000000,3.60414308
106.07000000,3.59965928
106.08000000,3.59518064
106.09000000,3.59070715
106.10000000,3.58623884
106.11000000,3.58177572
106.12000000,3.57731780
106.13000000,3.57286512
106.14000000,3.56841767
106.15000000,3.56397547
106.16000000,3.55953855
106.17000000,3.55510691
106.18000000,3.55068057
106.19000000,3.54625955
106.20000000,3.54184386
106.21000000,3.53743352
106.22000000,3.53302854
106.23000000,3.52862895
106.24000000,3.52423474
106.25000000,3.51984595
106.26000000,3.51546258
106.27000000,3.51108466
106.28000000,3.50671219
106.29000000,3.50234519
106.30000000,3.49798368
106.31000000,3.49362768
106.32000000,3.48927719
106.33000000,3.48493224
106.34000000,3.48059284
106.35000000,3.47625901
106.36000000,3.47193076
106.37000000,3.46760810
106.38000000,3.46329106
106.39000000,3.45897964
106.40000000,3.45467387
106.41000000,3.45037376
106.42000000,3.44607933
106.43000000,3.44179058
106.44000000,3.43750754
106.45000000,3.43323022
106.46000000,3.42895864
106.47000000,3.42469281
106.48000000,3.42043275
106.49000000,3.41617848
106.50000000,3.41193000
106.51000000,3.40768734
106.52000000,3.40345051
106.53000000,3.39921952
106.54000000,3.39499440
106.55000000,3.39077515
106.56000000,3.38656180
106.57000000,3.38235436
106.58000000,3.37815284
106.59000000,3.37395726
106.60000000,3.36976763
106.61000000,3.36558398
106.62000000,3.36140631
106.63000000,3.35723464
106.64000000,3.35306899
106.65000000,3.34890938
106.66000000,3.34475581
106.67000000,3.34060831
106.68000000,3.33646689
106.69000000,3.33233156
106.70000000,3.32820234
106.71000000,3.32407925
106.72000000,3.31996230
106.73000000,3.31585151
106.74000000,3.31174689
106.75000000,3.30764846
106.76000000,3.30355624
106.77000000,3.29947023
106.78000000,3.29539047
106.79000000,3.29131695
106.80000000,3.28724969
106.81000000,3.28318873
106.82000000,3.27913405
106.83000000,3.27508569
106.84000000,3.27104367
106.85000000,3.26700798
106.86000000,3.26297865
106.87000000,3.25895570
106.88000000,3.25493915
106.89000000,3.25092899
106.90000000,3.24692526
106.91000000,3.24292797
106.92000000,3.23893713
106.93000000,3.23495277
106.94000000,3.23097488
106.95000000,3.22700350
106.96000000,3.22303863
106.97000000,3.21908029
106.98000000,3.21512850
106.99000000,3.21118327
107.00000000,3.20724462
107.01000000,3.20331256
107.02000000,3.19938712
107.03000000,3.19546829
107.04000000,3.19155611
107.05000000,3.18765058
107.06000000,3.18375173
107.07000000,3.17985956
107.08000000,3.17597409
107.09000000,3.17209535
107.10000000,3.16822333
107.11000000,3.16435807
107.12000000,3.16049957
107.13000000,3.15664785
107.14000000,3.15280292
107.15000000,3.14896481
107.16000000,3.14513353
107.17000000,3.14130908
107.18000000,3.13749150
107.19000000,3.13368079
107.20000000,3.12987697
107.21000000,3.12608005
107.22000000,3.12229006
107.23000000,3.11850700
107.24000000,3.11473089
107.25000000,3.11096175
107.26000000,3.10719959
107.27000000,3.10344443
107.28000000,3.09969629
107.29000000,3.09595517
107.30000000,3.09222110
107.31000000,3.08849409
107.32000000,3.08477415
107.33000000,3.08106131
107.34000000,3.07735558
107.35000000,3.07365697
107.36000000,3.06996549
107.37000000,3.06628117
107.38000000,3.06260402
107.39000000,3.05893406
107.40000000,3.05527129
107.41000000,3.05161575
107.42000000,3.04796743
107.43000000,3.04432636
107.44000000,3.04069256
107.45000000,3.03706603
107.46000000,3.03344680
107.47000000,3.02983488
107.48000000,3.02623028
107.49000000,3.02263302
107.50000000,3.01904312
107.51000000,3.01546059
107.52000000,3.01188540
107.53000000,3.00831754
107.54000000,3.00475698
107.55000000,3.00120370
107.56000000,2.99765767
107.57000000,2.99411886
107.58000000,2.99058726
107.59000000,2.98706285
107.60000000,2.98354559
107.61000000,2.98003546
107.62000000,2.97653245
107.63000000,2.97303652
107.64000000,2.96954765
107.65000000,2.96606582
107.66000000,2.96259100
107.67000000,2.95912318
107.68000000,2.95566232
107.69000000,2.95220840
107.70000000,2.94876140
107.71000000,2.94532130
107.72000000,2.94188807
107.73000000,2.93846168
107.74000000,2.93504212
107.75000000,2.93162936
107.76000000,2.92822337
